AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length,Plasmid,PredictedMobility,log10_replicon_length,log10_PIRACopyNumber,log10_normalized_replicon_length,Size_Cluster
GCF_002753075.1_ASM275307v1,NZ_CP024531.1,plasmid,147894,89345,1.655313672,0.878162952,2.011090525,129542,18352,1.884973247,179680.8829,Klebsiella pneumoniae,INF157,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Klebsiella,5297108,0.016866751,CP024531.1,mobilizable,4.951070253,0.30343162,-1.772968574,Cluster_1
GCF_002753075.1_ASM275307v1,NZ_CP024532.1,plasmid,42721,4660,9.167596567,0.878162952,10.42957176,41202,1519,10.43951643,48601.80442,Klebsiella pneumoniae,INF157,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Klebsiella,5297108,0.000879725,CP024532.1,non-mobilizable,3.668385917,1.018266477,-3.055652911,Cluster_2
GCF_002753075.1_ASM275307v1,NZ_CP024533.1,plasmid,25680,4510,5.694013304,0.878162952,6.477925788,24511,1169,6.484005376,29215.44531,Klebsiella pneumoniae,INF157,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Klebsiella,5297108,0.000851408,CP024533.1,non-mobilizable,3.654176542,0.811435968,-3.069862286,Cluster_2
GCF_002753075.1_ASM275307v1,NZ_CP024534.1,plasmid,38487,3825,10.06196078,0.878162952,11.44555562,37827,660,11.45796547,43779.25026,Klebsiella pneumoniae,INF157,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Klebsiella,5297108,0.000722092,CP024534.1,mobilizable,3.582631439,1.05863688,-3.141407388,Cluster_2
GCF_001441245.1_ASM144124v1,NZ_CP012931.1,plasmid,135158,236176,0.572276607,0.502636171,1.138550388,135158,0,1.138550388,268898.2765,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.049104837,CP012931.1,conjugative,5.373235763,0.056352256,-1.308875724,Cluster_1
GCF_001441245.1_ASM144124v1,NZ_CP012936.1,plasmid,95921,98999,0.968908777,0.502636171,1.927654302,95921,0,1.927654302,190835.8483,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.020583505,CP012936.1,conjugative,4.995630808,0.285029152,-1.686480679,Cluster_1
GCF_001441245.1_ASM144124v1,NZ_CP012935.1,plasmid,34996,3905,8.96184379,0.502636171,17.82968341,34996,0,17.82968341,69624.9137,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.000811913,CP012935.1,mobilizable,3.591621038,1.251143632,-3.090490449,Cluster_2
GCF_001441245.1_ASM144124v1,NZ_CP012934.1,plasmid,53187,3372,15.77313167,0.502636171,31.38081299,53187,0,31.38081299,105816.1014,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.000701094,CP012934.1,mobilizable,3.527887566,1.496664191,-3.154223921,Cluster_2
GCF_001441245.1_ASM144124v1,NZ_CP012933.1,plasmid,48038,3319,14.47363664,0.502636171,28.79545382,48038,0,28.79545382,95572.11122,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.000690074,CP012933.1,mobilizable,3.521007252,1.459323927,-3.161104235,Cluster_2
GCF_001441245.1_ASM144124v1,NZ_CP012932.1,plasmid,90074,2096,42.97423664,0.502636171,85.49770023,90071,3,85.49770023,179203.1797,Salmonella enterica subsp. enterica serovar Heidelberg,N13-01290,Pseudomonadota,Gammaproteobacteria,NA,turkey meat,Food,Salmonella,4809628,0.000435793,CP012932.1,mobilizable,3.321391278,1.931954433,-3.360720209,Cluster_2
GCF_012221365.1_ASM1222136v1,NZ_CP050863.1,plasmid,359220,233798,1.536454546,2.035525171,0.782065177,348523,10697,0.754819723,182845.2743,Escherichia coli,8-3-DC15,Pseudomonadota,Gammaproteobacteria,Homo sapiens,colonoscopy,Humans,Escherichia,4901398,0.047700268,CP050863.1,conjugative,5.368840792,-0.106757051,-1.321479178,Cluster_1
GCF_012221365.1_ASM1222136v1,NZ_CP050864.1,plasmid,565435,7120,79.41502809,2.035525171,39.03185637,565275,160,39.01451539,277906.8174,Escherichia coli,8-3-DC15,Pseudomonadota,Gammaproteobacteria,Homo sapiens,colonoscopy,Humans,Escherichia,4901398,0.001452647,CP050864.1,mobilizable,3.852479994,1.591419207,-2.837839976,Cluster_2
GCF_012051245.1_ASM1205124v1,NZ_CP050729.1,plasmid,48684,230228,0.211459944,0.305882016,0.692594585,47872,812,0.691312116,159454.6662,Salmonella enterica subsp. enterica serovar Typhimurium,ST106,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Diarrheal patient,Humans,Salmonella,4962482,0.04639372,CP050729.1,conjugative,5.362158141,-0.159520908,-1.333540804,Cluster_1
GCF_012051245.1_ASM1205124v1,NZ_CP050730.1,plasmid,60837,2708,22.46565731,0.305882016,73.4389044,60837,0,73.44549897,198872.5531,Salmonella enterica subsp. enterica serovar Typhimurium,ST106,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Diarrheal patient,Humans,Salmonella,4962482,0.000545695,CP050730.1,non-mobilizable,3.43264866,1.865926189,-3.263050284,Cluster_2
GCF_903993015.2_AI2993v1_cp,NZ_OW970541.1,plasmid,50077,101467,0.493529916,0.503045023,1.007755243,46707,3370,0.981084979,102253.9012,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.019061594,OW970541.1,conjugative,5.00632482,0.003355066,-1.719840784,Cluster_1
GCF_903993015.2_AI2993v1_cp,NZ_OW970542.1,plasmid,51377,74813,0.686738936,0.503045023,1.433303943,47655,3722,1.365163959,107229.7679,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.014054373,OW970542.1,non-mobilizable,4.87397707,0.156338296,-1.852188534,Cluster_1
GCF_903993015.2_AI2993v1_cp,NZ_OW970543.1,plasmid,56331,63589,0.885860762,0.503045023,1.770545282,56022,309,1.760996971,112587.2039,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.011945832,OW970543.1,conjugative,4.803381995,0.248107038,-1.922783609,Cluster_1
GCF_903993015.2_AI2993v1_cp,NZ_OW970544.1,plasmid,79235,54404,1.456418646,0.503045023,2.893371816,79235,0,2.895205356,157411.0003,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.010220337,OW970544.1,non-mobilizable,4.735630832,0.461404247,-1.990534772,Cluster_1
GCF_903993015.2_AI2993v1_cp,NZ_OW970545.1,plasmid,21295,7926,2.686727227,0.503045023,6.305412274,18655,2640,5.340927954,49976.69769,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.001488979,OW970545.1,non-mobilizable,3.899054068,0.799713488,-2.827111536,Cluster_2
GCF_903993015.2_AI2993v1_cp,NZ_OW970546.1,plasmid,31133,4715,6.602969247,0.503045023,13.1175593,31133,0,13.12600054,61849.2921,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.00088576,OW970546.1,mobilizable,3.673481697,1.117853036,-3.052683907,Cluster_2
GCF_903993015.2_AI2993v1_cp,NZ_OW970547.1,plasmid,54412,4167,13.05783537,0.503045023,26.02573139,52648,1764,25.95758783,108449.2227,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5323112,0.000782813,OW970547.1,non-mobilizable,3.6198235,1.415402943,-3.106342104,Cluster_2
GCF_031326085.1_ASM3132608v1,NZ_CP133675.1,plasmid,4979374,386016,12.89939795,11.97181117,1.076446447,4964316,15058,1.077480907,415525.5517,Agrobacterium pusense,Bbcg2-2,Pseudomonadota,Alphaproteobacteria,Vaccinium sp.,crown gall,Plants,Agrobacterium,2798342,0.13794454,CP133675.1,NA,5.586605306,0.031992429,-0.860295485,Cluster_1
GCF_001558735.2_ASM155873v2,NZ_CP014127.2,plasmid,1133223,470309,2.409528629,2.786324902,0.866184488,1128680,4543,0.864769441,407374.3606,Pantoea vagans,FDAARGOS_160,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Wound swab,Humans,Pantoea,4050121,0.11612221,CP014127.2,non-mobilizable,5.67238329,-0.062389598,-0.935084709,Cluster_1
GCF_001558735.2_ASM155873v2,NZ_CP014128.2,plasmid,570163,197914,2.880862395,2.786324902,1.033707237,570163,0,1.033929099,204585.1341,Pantoea vagans,FDAARGOS_160,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Wound swab,Humans,Pantoea,4050121,0.048866194,CP014128.2,non-mobilizable,5.296476516,0.014397557,-1.310991482,Cluster_1
GCF_001558735.2_ASM155873v2,NZ_CP014126.2,plasmid,262991,90511,2.905624731,2.786324902,1.042592426,262990,1,1.042816194,94366.08304,Pantoea vagans,FDAARGOS_160,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Wound swab,Humans,Pantoea,4050121,0.022347727,CP014126.2,non-mobilizable,4.956701363,0.018114566,-1.650766635,Cluster_1
GCF_017165095.1_ASM1716509v1,NZ_CP062734.1,plasmid,43104,95227,0.452644733,0.263748468,1.746378777,42184,920,1.716198527,166302.4118,Escherichia coli O157:H7,Z1767,Pseudomonadota,Gammaproteobacteria,NA,Bovine Faeces,Livestock,Escherichia,5513996,0.017270052,CP062734.1,non-mobilizable,4.978760103,0.242138445,-1.762706344,Cluster_1
GCF_028335345.1_ASM2833534v1,NZ_CP116572.1,plasmid,116256,63994,1.816670313,0.728172739,2.499848235,115436,820,2.494834284,159975.288,Enterococcus faecalis,K190-1,Terrabacteria group,Bacillota,Bos taurus,fecal sample,Livestock,Enterococcus,2917842,0.021931962,CP116572.1,mobilizable,4.806139257,0.397913644,-1.658922514,Cluster_1
GCF_028335345.1_ASM2833534v1,NZ_CP116573.1,plasmid,70214,38206,1.837774172,0.728172739,2.525480937,69360,854,2.523816224,96488.52466,Enterococcus faecalis,K190-1,Terrabacteria group,Bacillota,Bos taurus,fecal sample,Livestock,Enterococcus,2917842,0.013093924,CP116573.1,conjugative,4.582131571,0.402344095,-1.8829302,Cluster_1
GCF_028335345.1_ASM2833534v1,NZ_CP116574.1,plasmid,71316,5143,13.86661482,0.728172739,19.04199096,71316,0,19.04302933,97932.95953,Enterococcus faecalis,K190-1,Terrabacteria group,Bacillota,Bos taurus,fecal sample,Livestock,Enterococcus,2917842,0.001762604,CP116574.1,mobilizable,3.711216524,1.279712355,-2.753845247,Cluster_2
GCF_014788765.1_ASM1478876v1,NZ_CP061833.1,plasmid,43661,193300,0.225871702,0.341142247,0.678544,41576,2085,0.662104163,131162.5552,Klebsiella pneumoniae,C0674,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Klebsiella,5366773,0.03601792,CP061833.1,conjugative,5.286231854,-0.168421986,-1.443481372,Cluster_1
GCF_039880325.1_ASM3988032v1,NZ_CP156900.1,plasmid,331970,74566,4.452029075,2.151025285,2.069724194,331963,7,2.069724194,154331.0543,Salmonella enterica subsp. enterica serovar Dublin,-,Pseudomonadota,Gammaproteobacteria,Bos taurus,NA,Livestock,Salmonella,4843189,0.015396054,CP156900.1,NA,4.872540847,0.315912476,-1.812590571,Cluster_1
GCF_016903415.1_ASM1690341v1,NZ_CP069912.1,plasmid,464770,141778,3.278153169,1.627983828,2.018360134,463956,814,2.013627601,286159.0631,Klebsiella oxytoca,FDAARGOS_1334,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5860928,0.024190367,CP069912.1,conjugative,5.151608846,0.30499866,-1.616357541,Cluster_1
GCF_016903415.1_ASM1690341v1,NZ_CP069928.1,plasmid,20895,45379,0.460455277,1.627983828,0.282825936,20864,31,0.282837746,12834.35817,Klebsiella oxytoca,FDAARGOS_1334,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5860928,0.007742631,CP069928.1,conjugative,4.656854921,-0.548480766,-2.111111465,Cluster_1
GCF_016903415.1_ASM1690341v1,NZ_CP069910.1,plasmid,99874,5840,17.10171233,1.627983828,10.50455962,98410,1464,10.50484166,61346.6282,Klebsiella oxytoca,FDAARGOS_1334,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5860928,0.000996429,CP069910.1,non-mobilizable,3.766412847,1.02137785,-3.001553539,Cluster_2
GCF_016903415.1_ASM1690341v1,NZ_CP069913.1,plasmid,117602,4420,26.60678733,1.627983828,16.34312358,115693,1909,16.34339781,72236.60623,Klebsiella oxytoca,FDAARGOS_1334,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5860928,0.000754147,CP069913.1,non-mobilizable,3.645422269,1.213335065,-3.122544117,Cluster_2
GCF_003017955.1_ASM301795v1,NZ_CP027345.1,plasmid,98854,22197,4.453484705,3.663291951,1.253200797,93921,4933,1.215705645,27817.29809,Escherichia coli,2014C-3946,Pseudomonadota,Gammaproteobacteria,NA,Stool,Humans,Escherichia,5264938,0.004216004,CP027345.1,conjugative,4.346294282,0.098020662,-2.375098979,Cluster_2
GCF_003017955.1_ASM301795v1,NZ_CP027346.1,plasmid,84784,18123,4.678254152,3.663291951,1.367440079,76555,8229,1.277062875,24782.11656,Escherichia coli,2014C-3946,Pseudomonadota,Gammaproteobacteria,NA,Stool,Humans,Escherichia,5264938,0.003442206,CP027346.1,non-mobilizable,4.25823009,0.135908305,-2.463163171,Cluster_2
GCF_013167815.1_ASM1316781v1,NZ_CP038378.1,plasmid,29609,99810,0.296653642,0.200245538,1.486037485,29487,122,1.481449451,148321.4014,Escherichia coli O157:H7,F1273,Pseudomonadota,Gammaproteobacteria,NA,beef,Food,Escherichia,5523389,0.018070427,CP038378.1,non-mobilizable,4.999174056,0.172029765,-1.743031575,Cluster_1
GCF_013167815.1_ASM1316781v1,NZ_CP038379.1,plasmid,30554,93180,0.327902983,0.200245538,1.667281561,30157,397,1.637504572,155357.2959,Escherichia coli O157:H7,F1273,Pseudomonadota,Gammaproteobacteria,NA,beef,Food,Escherichia,5523389,0.016870077,CP038379.1,non-mobilizable,4.969322706,0.222008947,-1.772882925,Cluster_1
GCF_013167815.1_ASM1316781v1,NZ_CP038377.1,plasmid,40468,7324,5.525395958,0.200245538,27.58289925,40468,0,27.59310406,202017.1541,Escherichia coli O157:H7,F1273,Pseudomonadota,Gammaproteobacteria,NA,beef,Food,Escherichia,5523389,0.001325997,CP038377.1,mobilizable,3.864748336,1.440639913,-2.877457295,Cluster_2
GCF_019915565.1_ASM1991556v1,NZ_CP082786.1,plasmid,18228,194684,0.09362865,0.092864919,1.01463202,17871,357,1.008224098,197532.6201,Klebsiella quasipneumoniae,MMCC7,Pseudomonadota,Gammaproteobacteria,Eclectus roratus,NA,Animals,Klebsiella,5187804,0.037527247,CP082786.1,conjugative,5.289330261,0.006308564,-1.425653299,Cluster_1
GCF_017161135.1_ASM1716113v1,NZ_CP046646.1,plasmid,400129,162487,2.46252931,1.653818512,1.500602256,383628,16501,1.488996097,243828.3588,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.030402936,CP046646.1,conjugative,5.21081862,0.176265595,-1.517084479,Cluster_1
GCF_017161135.1_ASM1716113v1,NZ_CP046647.1,plasmid,466592,154760,3.014939261,1.653818512,1.868805751,432114,34478,1.823016999,289216.378,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.028957137,CP046647.1,conjugative,5.189658721,0.271564162,-1.538244379,Cluster_1
GCF_017161135.1_ASM1716113v1,NZ_CP046648.1,plasmid,276416,66546,4.153758303,1.653818512,2.550274402,267855,8561,2.511616766,169710.5604,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.012451419,CP046648.1,conjugative,4.823121956,0.406586912,-1.904781144,Cluster_1
GCF_017161135.1_ASM1716113v1,NZ_CP046649.1,plasmid,237850,47885,4.967108698,1.653818512,3.08775181,226658,11192,3.003418248,147856.9954,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.00895976,CP046649.1,conjugative,4.680199492,0.489642385,-2.047703608,Cluster_1
GCF_017161135.1_ASM1716113v1,NZ_CP046650.1,plasmid,108447,9294,11.6684958,1.653818512,7.051338992,108405,42,7.055487479,65535.14459,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.001739,CP046650.1,mobilizable,3.968202668,0.848271594,-2.759700432,Cluster_2
GCF_017161135.1_ASM1716113v1,NZ_CP046651.1,plasmid,145656,5897,24.70001696,1.653818512,14.92636203,145469,187,14.9351436,88020.75687,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.001103387,CP046651.1,mobilizable,3.770631128,1.173953971,-2.957271972,Cluster_2
GCF_017161135.1_ASM1716113v1,NZ_CP046652.1,plasmid,279223,3511,79.52805469,1.653818512,48.05959423,278580,643,48.08753446,168737.2353,Klebsiella pneumoniae,EGKP3,Pseudomonadota,Gammaproteobacteria,Homo sapiens,fecal isolate from poultry farm worker,Humans,Klebsiella,5344451,0.000656943,CP046652.1,mobilizable,3.545430829,1.6817801,-3.18247227,Cluster_2
GCF_002934285.1_ASM293428v1,NZ_CP026230.1,plasmid,102628,77569,1.323054313,0.681092858,2.005065454,99748,2880,1.942546154,155530.9222,Aeromonas sp. ASNIH1,ASNIH1,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Aeromonas,4984360,0.015562479,CP026230.1,mobilizable,4.889688193,0.302128554,-1.807921209,Cluster_1
GCF_002934285.1_ASM293428v1,NZ_CP026229.1,plasmid,17267,17473,0.988210382,0.681092858,1.56658537,15694,1573,1.450918725,27372.94618,Aeromonas sp. ASNIH1,ASNIH1,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Aeromonas,4984360,0.003505565,CP026229.1,mobilizable,4.242367477,0.194954067,-2.455241925,Cluster_2
GCF_001359015.2_129_0238,NZ_LT904889.1,plasmid,17886,65273,0.274018354,0.701545897,0.3922976,17685,201,0.390592198,25606.44126,Salmonella enterica subsp. enterica serovar Typhi,129-0238-M,Pseudomonadota,Gammaproteobacteria,NA,Not known,Unannotated,Salmonella,4781948,0.013649877,LT904889.1,conjugative,4.814733574,-0.406384348,-1.864871276,Cluster_1
GCF_013781965.1_ASM1378196v1,NZ_CP056182.1,plasmid,65133,283642,0.229631014,0.38094621,0.614491077,62330,2803,0.602791175,174295.478,Citrobacter freundii,RHBSTW-01016,Pseudomonadota,Gammaproteobacteria,NA,Wastewater effluent sample,Human-impacted,Citrobacter,4992760,0.056810662,CP056182.1,conjugative,5.452770539,-0.211484419,-1.245570151,Cluster_1
GCF_013781965.1_ASM1378196v1,NZ_CP056183.1,plasmid,83444,4863,17.15895538,0.38094621,44.99138061,83444,0,45.04298749,218793.0839,Citrobacter freundii,RHBSTW-01016,Pseudomonadota,Gammaproteobacteria,NA,Wastewater effluent sample,Human-impacted,Citrobacter,4992760,0.00097401,CP056183.1,non-mobilizable,3.68690427,1.65312932,-3.011436421,Cluster_2
GCF_013781965.1_ASM1378196v1,NZ_CP056184.1,plasmid,87764,3728,23.54184549,0.38094621,61.72754154,87764,0,61.79834546,230120.2748,Citrobacter freundii,RHBSTW-01016,Pseudomonadota,Gammaproteobacteria,NA,Wastewater effluent sample,Human-impacted,Citrobacter,4992760,0.000746681,CP056184.1,non-mobilizable,3.571475904,1.79047898,-3.126864787,Cluster_2
GCF_027943605.1_ASM2794360v1,NZ_AP019760.1,plasmid,41219,37319,1.104504408,3.362091796,0.328517029,41219,0,0.328517029,12259.927,Coxiella burnetii,VS42,Pseudomonadota,Gammaproteobacteria,Homo sapiens,serum,Humans,Coxiella,1995204,0.018704353,AP019760.1,non-mobilizable,4.571929998,-0.483442114,-1.728057309,Cluster_1
GCF_028335685.1_ASM2833568v1,NZ_CP116565.1,plasmid,82457,74469,1.107266111,0.633515295,1.753384857,81790,667,1.747812751,130572.8169,Enterococcus faecalis,K188-1,Terrabacteria group,Bacillota,Bos taurus,fecal sample,Livestock,Enterococcus,2819823,0.026409104,CP116565.1,mobilizable,4.871975522,0.243877252,-1.578246327,Cluster_1
GCF_016834495.1_ASM1683449v1,NZ_CP069220.1,plasmid,398121,30151,13.20423867,4.381575329,3.013604945,392249,5872,3.013582484,90863.2027,Staphylococcus epidermidis,Z0118SE0272,Terrabacteria group,Bacillota,sofa,NA,Human-impacted,Staphylococcus,2509266,0.012015864,CP069220.1,mobilizable,4.479301721,0.47908632,-1.920244981,Cluster_1
GCF_016834495.1_ASM1683449v1,NZ_CP069221.1,plasmid,169759,16926,10.02948127,4.381575329,2.289012423,169759,0,2.289012631,38743.82428,Staphylococcus epidermidis,Z0118SE0272,Terrabacteria group,Bacillota,sofa,NA,Human-impacted,Staphylococcus,2509266,0.006745399,CP069221.1,non-mobilizable,4.228554337,0.35964815,-2.170992366,Cluster_2
GCF_016834495.1_ASM1683449v1,NZ_CP069222.1,plasmid,110703,2563,43.19274288,4.381575329,9.857810426,110703,0,9.85781132,25265.56812,Staphylococcus epidermidis,Z0118SE0272,Terrabacteria group,Bacillota,sofa,NA,Human-impacted,Staphylococcus,2509266,0.001021414,CP069222.1,non-mobilizable,3.408748606,0.993780462,-2.990798096,Cluster_2
GCF_030062895.1_ASM3006289v1,NZ_CP114517.1,plasmid,1012802,213653,4.740406173,6.919531229,0.68904715,1007202,5600,0.685076202,147216.9907,Ligilactobacillus salivarius,S40,Terrabacteria group,Bacillota,Meles meles,Feces,Animals,Ligilactobacillus,1892436,0.112898402,CP114517.1,non-mobilizable,5.329708995,-0.161751059,-0.947312206,Cluster_1
GCF_030062895.1_ASM3006289v1,NZ_CP114516.1,plasmid,486381,126435,3.846885752,6.919531229,0.555539778,486357,24,0.555946006,70239.67185,Ligilactobacillus salivarius,S40,Terrabacteria group,Bacillota,Meles meles,Feces,Animals,Ligilactobacillus,1892436,0.066810714,CP114516.1,non-mobilizable,5.101867313,-0.255284839,-1.175153888,Cluster_1
GCF_036226885.1_ASM3622688v1,NZ_CP109028.1,plasmid,505488,132838,3.805296677,1.190203298,3.199568568,500650,4838,3.197182098,425024.2895,Streptomyces sp. NBC_00663,NBC_00663,Terrabacteria group,Actinomycetota,NA,soil,Earth,Streptomyces,9859624,0.013472928,CP109028.1,NA,5.123322328,0.505091422,-1.870538025,Cluster_1
GCF_013318125.2_ASM1331812v2,NZ_CP116698.1,plasmid,221146,719769,0.307245797,0.335194921,0.916247522,220034,1112,0.916618295,659486.5629,Agrobacterium tumefaciens,CG920,Pseudomonadota,Alphaproteobacteria,Clematis,NA,Plants,Agrobacterium,2894662,0.248653902,CP116698.1,conjugative,5.857193138,-0.037987187,-0.604404722,Cluster_1
GCF_013318125.2_ASM1331812v2,NZ_CP116699.1,plasmid,49913,227357,0.219535796,0.335194921,0.654465938,49568,345,0.65494965,148797.4123,Agrobacterium tumefaciens,CG920,Pseudomonadota,Alphaproteobacteria,Clematis,NA,Plants,Agrobacterium,2894662,0.07854354,CP116699.1,conjugative,5.35670833,-0.184112951,-1.10488953,Cluster_1
GCF_036785855.1_ASM3678585v1,NZ_CP145155.1,plasmid,247344,16906,14.63054537,0.529264091,38.02357079,151972,95372,27.64318537,642826.4877,Citrobacter portucalensis,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Citrobacter,4915837,0.003439089,CP145155.1,NA,4.228040865,1.580052899,-2.463556609,Cluster_2
GCF_002494365.2_ASM249436v2,NZ_CP030920.1,plasmid,171189,259094,0.660721591,0.572720861,1.193706577,162734,8455,1.15365379,309282.2117,Escherichia coli,KL53,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Escherichia,4810511,0.053859975,CP030920.1,non-mobilizable,5.413457356,0.076897587,-1.268733856,Cluster_1
GCF_002494365.2_ASM249436v2,NZ_CP030921.1,plasmid,72920,109118,0.66826738,0.572720861,1.186491983,72383,537,1.166829124,129467.6322,Escherichia coli,KL53,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Escherichia,4810511,0.022683245,CP030921.1,conjugative,5.037896397,0.074264808,-1.644294815,Cluster_1
GCF_002494365.2_ASM249436v2,NZ_CP030922.1,plasmid,39881,77405,0.515225115,0.572720861,0.897532561,39881,0,0.899609478,69473.50785,Escherichia coli,KL53,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Escherichia,4810511,0.016090806,CP030922.1,conjugative,4.888769015,-0.046949787,-1.793422197,Cluster_1
GCF_038367145.1_ASM3836714v1,NZ_CP151335.1,plasmid,21712,111597,0.194557201,0.142942954,1.361153198,21676,36,1.361082833,151900.6135,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Shigella,4856154,0.022980532,CP151335.1,NA,5.04765252,0.133907008,-1.638639931,Cluster_1
GCF_038367145.1_ASM3836714v1,NZ_CP151338.1,plasmid,13198,5250,2.513904762,0.142942954,17.5867446,13196,2,17.58676929,92330.40916,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Shigella,4856154,0.001081102,CP151338.1,NA,3.720159303,1.245185457,-2.966133147,Cluster_2
GCF_038367145.1_ASM3836714v1,NZ_CP151342.1,plasmid,10990,2101,5.230842456,0.142942954,36.59386454,10990,0,36.59391592,76883.7094,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Shigella,4856154,0.000432647,CP151342.1,NA,3.322426052,1.563408276,-3.363866398,Cluster_2
GCF_038367145.1_ASM3836714v1,NZ_CP151343.1,plasmid,21117,1551,13.61508704,0.142942954,95.24826165,21114,3,95.24839537,147730.0538,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Shigella,4856154,0.000319389,CP151343.1,NA,3.190611798,1.978857058,-3.495680653,Cluster_2
GCF_000742975.1_ASM74297v1,NZ_CP008815.1,plasmid,411175,66548,6.178622949,6.22721025,0.99220534,388033,23142,0.992197581,66029.28095,Enterococcus faecalis ATCC 29212,29212,Terrabacteria group,Bacillota,NA,NA,Unannotated,Enterococcus,2939973,0.022635582,CP008815.1,conjugative,4.823135008,-0.00339844,-1.645208334,Cluster_1
